offset,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49
0,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427,48427
1,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41501,41767,41949,42071,42123,42177,43143,43829,44202,44890,45309,45879,47421,47430,47427,47427,47427,47427,47427,47427,47427,47427,47427,47427,47427
2,42633,44005,43759,44373,43329,43097,42108,41879,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
3,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,42485,43493,43455,43161,42987,42038,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,42196,42724,41943,41386,41386
4,41386,41502,42830,42794,42505,41940,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41388,42386,42536,42193,42035,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
5,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41539,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,42071,41936,41427
6,41386,41386,41452,41668,41404,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41624,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41648,41545,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41402,42034,41697
7,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
8,41386,41386,41386,41626,41664,41641,41386,41473,41386,41386,41386,41386,41386,41386,41686,41586,41586,41386,41629,41386,41386,41386,41386,41386,41590,41703,41631,41587,41386,41721,41386,41386,41386,41493,41675,41721,41721,41749,41611,41386,41386,41386,41386,41386,41386,41386,41386,41386,41613,41488
9,41604,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41398,41386,41553,41621,41494,41532,41523,41386,41386,41386,41620,41506,41786,41827,41629,41653,41623,41564,41530,41386,41594
