day,susceptible,infected,immune,died,severely_ill,icu_beds_available,died_because_of_no_bed,excess_mortality,infected_today,recovered_today,died_today,reaction
0,3999990,10,0,0,0,3656,0,0,10,0,0,preparing to distance at 2
1,3999986,14,0,0,0,3656,0,0,4,0,0,preparing to distance at 2
2,3999985,15,0,0,0,3656,0,0,1,0,0,preparing to distance at 4
3,3999984,16,0,0,0,3656,0,0,1,0,0,preparing to distance at 4
4,3999983,17,0,0,0,3656,0,0,1,0,0,preparing to distance at 6
5,3999982,18,0,0,0,3656,0,0,1,0,0,preparing to distance at 6
6,3999981,19,0,0,0,3656,0,0,1,0,0,preparing to distance at 8
7,3999980,20,0,0,0,3656,0,0,1,0,0,preparing to distance at 8
8,3999979,21,0,0,0,3656,0,0,1,0,0,preparing to relax at 10
9,3999977,23,0,0,0,3656,0,0,2,0,0,preparing to relax at 10
10,3999969,31,0,0,0,3656,0,0,8,0,0,preparing to distance at 12
11,3999958,42,0,0,0,3656,0,0,11,0,0,preparing to distance at 12
12,3999955,45,0,0,0,3656,0,0,3,0,0,preparing to distance at 14
13,3999952,48,0,0,0,3656,0,0,3,0,0,preparing to distance at 14
14,3999949,41,10,0,0,3656,0,0,3,10,0,preparing to distance at 16
15,3999946,40,14,0,0,3656,0,0,3,4,0,preparing to distance at 16
16,3999943,42,15,0,0,3656,0,0,3,1,0,preparing to distance at 18
17,3999940,44,16,0,0,3656,0,0,3,1,0,preparing to distance at 18
18,3999937,46,17,0,0,3656,0,0,3,1,0,preparing to relax at 20
19,3999934,48,18,0,0,3656,0,0,3,1,0,preparing to relax at 20
20,3999917,64,19,0,0,3656,0,0,17,1,0,preparing to distance at 22
21,3999895,85,20,0,0,3656,0,0,22,1,0,preparing to distance at 22
22,3999889,90,21,0,0,3656,0,0,6,1,0,preparing to relax at 24
23,3999883,94,23,0,0,3656,0,0,6,2,0,preparing to relax at 24
24,3999853,116,31,0,1,3655,0,0,30,8,0,preparing to distance at 26
25,3999816,142,42,0,2,3654,0,0,37,11,0,preparing to distance at 26
26,3999806,149,45,0,2,3654,0,0,10,3,0,preparing to distance at 28
27,3999795,157,48,0,2,3654,0,0,11,3,0,preparing to distance at 28
28,3999784,165,51,0,2,3654,0,0,11,3,0,preparing to relax at 30
29,3999772,174,54,0,2,3654,0,0,12,3,0,preparing to relax at 30
30,3999712,231,57,0,4,3652,0,0,60,3,0,preparing to distance at 32
31,3999632,308,60,0,6,3650,0,0,80,3,0,preparing to distance at 32
32,3999610,327,63,0,6,3650,0,0,22,3,0,preparing to relax at 34
33,3999587,347,66,0,6,3650,0,0,23,3,0,preparing to relax at 34
34,3999471,446,83,0,10,3646,0,0,116,17,0,preparing to distance at 36
35,3999322,573,105,0,15,3641,0,0,149,22,0,preparing to distance at 36
36,3999281,608,111,0,16,3640,0,0,41,6,0,preparing to distance at 38
37,3999238,645,117,0,17,3639,0,0,43,6,0,preparing to distance at 38
38,3999194,659,148,0,17,3639,0,0,44,31,0,preparing to relax at 40
39,3999149,667,186,0,17,3639,0,0,45,38,0,preparing to relax at 40
40,3998918,888,196,0,25,3631,0,0,231,10,0,preparing to distance at 42
41,3998609,1186,207,0,35,3621,0,0,309,11,0,preparing to distance at 42
42,3998524,1260,218,0,37,3619,0,0,85,11,0,preparing to relax at 44
43,3998434,1338,230,0,40,3616,0,0,90,12,0,preparing to relax at 44
44,3997984,1728,291,1,53,3603,0,0,450,61,1,preparing to distance at 46
45,3997404,2228,372,2,71,3585,0,0,580,81,1,preparing to distance at 46
46,3997245,2365,394,2,76,3580,0,0,159,22,0,preparing to distance at 48
47,3997076,2511,417,2,81,3575,0,0,169,23,0,preparing to distance at 48
48,3996903,2568,536,3,83,3573,0,0,173,119,1,preparing to relax at 50
49,3996728,2594,688,5,84,3572,0,0,175,152,2,preparing to relax at 50
50,3995829,3452,730,5,114,3542,0,0,899,42,0,preparing to distance at 52
51,3994629,4609,774,5,155,3501,0,0,1200,44,0,preparing to distance at 52
52,3994300,4894,819,5,165,3491,0,0,329,45,0,preparing to relax at 54
53,3993950,5199,865,5,176,3480,0,0,350,46,0,preparing to relax at 54
