day,susceptible,infected,immune,died,severely_ill,icu_beds_available,died_because_of_no_bed,excess_mortality,infected_today,recovered_today,died_today,reaction
0,3999990,10,0,0,0,3656,0,0,10,0,0,preparing to distance at 2
1,3999986,14,0,0,0,3656,0,0,4,0,0,preparing to distance at 2
2,3999985,15,0,0,0,3656,0,0,1,0,0,preparing to distance at 4
3,3999984,16,0,0,0,3656,0,0,1,0,0,preparing to distance at 4
4,3999983,17,0,0,0,3656,0,0,1,0,0,preparing to distance at 6
5,3999982,18,0,0,0,3656,0,0,1,0,0,preparing to distance at 6
6,3999981,19,0,0,0,3656,0,0,1,0,0,preparing to distance at 8
7,3999980,20,0,0,0,3656,0,0,1,0,0,preparing to distance at 8
8,3999979,21,0,0,0,3656,0,0,1,0,0,preparing to relax at 29
9,3999977,23,0,0,0,3656,0,0,2,0,0,preparing to relax at 29
10,3999975,25,0,0,0,3656,0,0,2,0,0,preparing to relax at 29
11,3999973,27,0,0,0,3656,0,0,2,0,0,preparing to relax at 29
12,3999971,29,0,0,0,3656,0,0,2,0,0,preparing to relax at 29
13,3999969,31,0,0,0,3656,0,0,2,0,0,preparing to relax at 29
14,3999967,23,10,0,0,3656,0,0,2,10,0,preparing to relax at 29
15,3999966,20,14,0,0,3656,0,0,1,4,0,preparing to relax at 29
16,3999965,20,15,0,0,3656,0,0,1,1,0,preparing to relax at 29
17,3999964,20,16,0,0,3656,0,0,1,1,0,preparing to relax at 29
18,3999963,20,17,0,0,3656,0,0,1,1,0,preparing to relax at 29
19,3999962,20,18,0,0,3656,0,0,1,1,0,preparing to relax at 29
20,3999961,20,19,0,0,3656,0,0,1,1,0,preparing to relax at 29
21,3999960,20,20,0,0,3656,0,0,1,1,0,preparing to relax at 29
22,3999959,20,21,0,0,3656,0,0,1,1,0,preparing to relax at 29
23,3999958,19,23,0,0,3656,0,0,1,2,0,preparing to relax at 29
24,3999957,18,25,0,0,3656,0,0,1,2,0,preparing to relax at 29
25,3999956,17,27,0,0,3656,0,0,1,2,0,preparing to relax at 29
26,3999955,16,29,0,0,3656,0,0,1,2,0,preparing to relax at 29
27,3999954,15,31,0,0,3656,0,0,1,2,0,preparing to relax at 29
28,3999953,14,33,0,0,3656,0,0,1,2,0,preparing to relax at 29
29,3999948,18,34,0,0,3656,0,0,5,1,0,preparing to distance at 31
30,3999942,23,35,0,0,3656,0,0,6,1,0,preparing to distance at 31
31,3999940,24,36,0,0,3656,0,0,2,1,0,preparing to relax at 52
32,3999938,25,37,0,0,3656,0,0,2,1,0,preparing to relax at 52
33,3999936,26,38,0,0,3656,0,0,2,1,0,preparing to relax at 52
34,3999934,27,39,0,0,3656,0,0,2,1,0,preparing to relax at 52
35,3999932,28,40,0,0,3656,0,0,2,1,0,preparing to relax at 52
36,3999930,29,41,0,0,3656,0,0,2,1,0,preparing to relax at 52
37,3999928,30,42,0,0,3656,0,0,2,1,0,preparing to relax at 52
38,3999926,31,43,0,0,3656,0,0,2,1,0,preparing to relax at 52
39,3999924,32,44,0,0,3656,0,0,2,1,0,preparing to relax at 52
40,3999922,33,45,0,0,3656,0,0,2,1,0,preparing to relax at 52
41,3999920,34,46,0,0,3656,0,0,2,1,0,preparing to relax at 52
42,3999918,35,47,0,0,3656,0,0,2,1,0,preparing to relax at 52
43,3999916,32,52,0,0,3656,0,0,2,5,0,preparing to relax at 52
44,3999914,28,58,0,0,3656,0,0,2,6,0,preparing to relax at 52
45,3999912,28,60,0,0,3656,0,0,2,2,0,preparing to relax at 52
46,3999910,28,62,0,0,3656,0,0,2,2,0,preparing to relax at 52
47,3999908,28,64,0,0,3656,0,0,2,2,0,preparing to relax at 52
48,3999906,28,66,0,0,3656,0,0,2,2,0,preparing to relax at 52
49,3999904,28,68,0,0,3656,0,0,2,2,0,preparing to relax at 52
50,3999902,28,70,0,0,3656,0,0,2,2,0,preparing to relax at 52
51,3999900,28,72,0,0,3656,0,0,2,2,0,preparing to relax at 52
52,3999891,35,74,0,0,3656,0,0,9,2,0,preparing to distance at 54
53,3999879,45,76,0,0,3656,0,0,12,2,0,preparing to distance at 54
