day,susceptible,infected,immune,died,severely_ill,icu_beds_available,died_because_of_no_bed,excess_mortality,infected_today,recovered_today,died_today,reaction
0,3999990,10,0,0,0,3656,0,0,10,0,0,preparing to distance at 7
1,3999986,14,0,0,0,3656,0,0,4,0,0,preparing to distance at 7
2,3999981,19,0,0,0,3656,0,0,5,0,0,preparing to distance at 7
3,3999974,26,0,0,0,3656,0,0,7,0,0,preparing to distance at 7
4,3999965,35,0,0,0,3656,0,0,9,0,0,preparing to distance at 7
5,3999953,47,0,0,0,3656,0,0,12,0,0,preparing to distance at 7
6,3999936,64,0,0,0,3656,0,0,17,0,0,preparing to distance at 7
7,3999931,69,0,0,0,3656,0,0,5,0,0,preparing to distance at 14
8,3999926,74,0,0,0,3656,0,0,5,0,0,preparing to distance at 14
9,3999921,79,0,0,0,3656,0,0,5,0,0,preparing to distance at 14
10,3999915,85,0,0,0,3656,0,0,6,0,0,preparing to distance at 14
11,3999909,91,0,0,0,3656,0,0,6,0,0,preparing to distance at 14
12,3999902,98,0,0,0,3656,0,0,7,0,0,preparing to distance at 14
13,3999895,105,0,0,0,3656,0,0,7,0,0,preparing to distance at 14
14,3999888,102,10,0,0,3656,0,0,7,10,0,preparing to relax at 21
15,3999881,105,14,0,0,3656,0,0,7,4,0,preparing to relax at 21
16,3999874,107,19,0,0,3656,0,0,7,5,0,preparing to relax at 21
17,3999867,107,26,0,0,3656,0,0,7,7,0,preparing to relax at 21
18,3999860,105,35,0,0,3656,0,0,7,9,0,preparing to relax at 21
19,3999853,100,47,0,0,3656,0,0,7,12,0,preparing to relax at 21
20,3999847,89,64,0,0,3656,0,0,6,17,0,preparing to relax at 21
21,3999817,114,69,0,1,3655,0,0,30,5,0,preparing to distance at 28
22,3999779,147,74,0,2,3654,0,0,38,5,0,preparing to distance at 28
23,3999729,192,79,0,3,3653,0,0,50,5,0,preparing to distance at 28
24,3999664,251,85,0,5,3651,0,0,65,6,0,preparing to distance at 28
25,3999578,331,91,0,8,3648,0,0,86,6,0,preparing to distance at 28
26,3999464,438,98,0,11,3645,0,0,114,7,0,preparing to distance at 28
27,3999312,583,105,0,16,3640,0,0,152,7,0,preparing to distance at 28
28,3999270,618,112,0,17,3639,0,0,42,7,0,preparing to distance at 35
29,3999226,655,119,0,18,3638,0,0,44,7,0,preparing to distance at 35
30,3999179,695,126,0,19,3637,0,0,47,7,0,preparing to distance at 35
31,3999129,738,133,0,20,3636,0,0,50,7,0,preparing to distance at 35
32,3999076,784,140,0,21,3635,0,0,53,7,0,preparing to distance at 35
33,3999020,833,147,0,22,3634,0,0,56,7,0,preparing to distance at 35
34,3998960,887,153,0,24,3632,0,0,60,6,0,preparing to distance at 35
35,3998898,919,184,0,25,3631,0,0,62,31,0,preparing to relax at 42
36,3998834,945,223,0,26,3630,0,0,64,39,0,preparing to relax at 42
37,3998769,960,273,1,27,3629,0,0,65,50,1,preparing to relax at 42
38,3998704,960,339,2,27,3629,0,0,65,66,1,preparing to relax at 42
39,3998641,937,427,3,26,3630,0,0,63,88,1,preparing to relax at 42
40,3998582,882,543,4,25,3631,0,0,59,116,1,preparing to relax at 42
41,3998529,783,698,6,21,3635,0,0,53,155,2,preparing to relax at 42
42,3998268,1002,741,6,29,3627,0,0,261,43,0,preparing to distance at 49
43,3997931,1295,786,6,39,3617,0,0,337,45,0,preparing to distance at 49
44,3997492,1687,834,6,53,3603,0,0,439,48,0,preparing to distance at 49
45,3996916,2213,884,7,72,3584,0,0,576,50,1,preparing to distance at 49
46,3996155,2921,937,8,97,3559,0,0,761,53,1,preparing to distance at 49
47,3995146,3874,993,9,131,3525,0,0,1009,56,1,preparing to distance at 49
48,3993803,5157,1054,10,176,3480,0,0,1343,61,1,preparing to distance at 49
49,3993435,5463,1117,11,186,3470,0,0,368,63,1,preparing to distance at 56
50,3993046,5788,1182,12,197,3459,0,0,389,65,1,preparing to distance at 56
51,3992633,6136,1248,13,209,3447,0,0,413,66,1,preparing to distance at 56
52,3992195,6509,1314,14,222,3434,0,0,438,66,1,preparing to distance at 56
53,3991730,6911,1378,15,236,3420,0,0,465,64,1,preparing to distance at 56
54,3991236,7346,1438,16,251,3405,0,0,494,60,1,preparing to distance at 56
55,3990710,7819,1491,17,268,3388,0,0,526,53,1,preparing to distance at 56
56,3990165,8103,1758,20,278,3378,0,0,545,267,3,preparing to relax at 63
