offset,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
0,48244,48244,48244,48244,48244,48244,48251,48666,48931,48943
1,45132,44728,44303,44859,44837,44564,44318,44084,44123,45771
2,41522,41885,41832,41674,41461,41662,42388,43399,44592,52503
3,41386,41386,41386,41386,41386,42133,42358,42146,42620,47533
4,41386,41386,41386,41386,41386,41386,41386,41386,41386,43143
5,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
6,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
7,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
8,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
9,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
