offset,s0,s1
0,48244,48610
1,47908,47721
2,47484,47018
3,47262,46182
4,46688,45786
5,46640,44957
6,46131,44670
7,45765,44908
8,45633,45028
9,44793,45802
10,43740,46719
11,42608,47637
12,41386,48554
13,41386,48137
14,41432,47566
15,41386,47242
16,41386,47143
17,41386,47017
18,41386,46867
19,41386,46703
20,41386,46507
21,41386,46312
22,41386,46099
23,41386,45738
24,41386,45377
25,41386,45031
26,41386,44698
27,41386,44477
28,41386,44317
29,41386,44170
30,41386,44012
31,41386,43852
32,41386,43688
33,41386,43531
34,41386,43366
35,41386,43200
36,41386,43034
37,41386,42879
38,41386,42721
39,41386,42565
40,41386,42410
41,41405,42265
42,41546,42116
43,41712,41966
44,41869,41818
45,42029,41677
46,42221,41529
47,42425,41400
48,42612,41386
49,42797,41386
50,42972,41386
51,43139,41386
52,43308,41386
53,43489,41386
54,43652,41393
55,43749,41463
56,43842,41534
57,44104,41575
58,44317,41673
59,44608,41702
60,44828,41804
61,44952,41841
62,45045,41784
63,45239,41645
64,45396,41552
65,45572,41550
66,45761,41574
67,45810,41706
68,45951,41569
69,46117,41415
70,46193,41452
71,46211,41497
72,46318,41386
73,46403,41386
74,46681,41425
75,47171,41386
76,47529,41386
77,46743,42433
78,45954,43403
79,45170,44306
80,44504,45028
81,44403,45139
82,44197,45454
83,44441,45893
84,45162,45927
85,45496,46424
86,46215,46612
87,46815,46977
88,47579,47263
89,47263,47579
90,46978,46815
91,46611,46216
92,46424,45496
93,45928,45160
94,45892,44440
95,45455,44195
96,45138,44407
97,45027,44507
98,44305,45173
99,43403,45959
