offset,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49
0,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48244,48279,48380,48618,48731,48744,48843,48884,48943,48943,48943,48943,48943,48943,48943,48943,48943
1,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
2,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
3,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
4,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
5,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
6,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
7,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
8,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
9,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
10,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
11,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
12,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
13,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
14,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
15,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
16,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
17,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
18,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
19,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
20,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
21,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
22,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386
23,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,40168
24,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,41386,40093,38157,37008
